// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c
// command took 2.98s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c
// command took 8.35s and exited with 0
// ***** Done, took 00:00:11 (11.55 sec)   *****
// Found 4 benchmarks:
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=5]
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=10]
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=25]
//   Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=50]

// **************************
// Benchmark: Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=5]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "20775742-c754-4d47-995c-7108f3b2515c.dll" --benchmarkName "Calculation.Benchmarking.Benchmarking.OneThreaded(Dimension: 5)" --job "IterationCount=5, RunStrategy=Throughput, WarmupCount=5" --benchmarkId 0 in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c/bin/Release/net5.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 5.0.9 (5.0.921.35908), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ATOGCU(IterationCount=5, RunStrategy=Throughput, WarmupCount=5)

OverheadJitting  1: 1 op, 498875.00 ns, 498.8750 us/op
WorkloadJitting  1: 1 op, 182623042.00 ns, 182.6230 ms/op

WorkloadPilot    1: 2 op, 1149583.00 ns, 574.7915 us/op
WorkloadPilot    2: 3 op, 521209.00 ns, 173.7363 us/op
WorkloadPilot    3: 4 op, 178917.00 ns, 44.7293 us/op
WorkloadPilot    4: 5 op, 551708.00 ns, 110.3416 us/op
WorkloadPilot    5: 6 op, 261958.00 ns, 43.6597 us/op
WorkloadPilot    6: 7 op, 543000.00 ns, 77.5714 us/op
WorkloadPilot    7: 8 op, 578208.00 ns, 72.2760 us/op
WorkloadPilot    8: 9 op, 373125.00 ns, 41.4583 us/op
WorkloadPilot    9: 10 op, 539917.00 ns, 53.9917 us/op
WorkloadPilot   10: 11 op, 883042.00 ns, 80.2765 us/op
WorkloadPilot   11: 12 op, 505458.00 ns, 42.1215 us/op
WorkloadPilot   12: 13 op, 200125.00 ns, 15.3942 us/op
WorkloadPilot   13: 14 op, 698667.00 ns, 49.9048 us/op
WorkloadPilot   14: 15 op, 815333.00 ns, 54.3555 us/op
WorkloadPilot   15: 16 op, 648750.00 ns, 40.5469 us/op
WorkloadPilot   16: 32 op, 554042.00 ns, 17.3138 us/op
WorkloadPilot   17: 64 op, 2223875.00 ns, 34.7480 us/op
WorkloadPilot   18: 128 op, 4170083.00 ns, 32.5788 us/op
WorkloadPilot   19: 256 op, 7940042.00 ns, 31.0158 us/op
WorkloadPilot   20: 512 op, 15630083.00 ns, 30.5275 us/op
WorkloadPilot   21: 1024 op, 28636542.00 ns, 27.9654 us/op
WorkloadPilot   22: 2048 op, 55387042.00 ns, 27.0445 us/op
WorkloadPilot   23: 4096 op, 249617042.00 ns, 60.9417 us/op
WorkloadPilot   24: 8192 op, 159433125.00 ns, 19.4621 us/op
WorkloadPilot   25: 16384 op, 423831042.00 ns, 25.8686 us/op
WorkloadPilot   26: 32768 op, 664703709.00 ns, 20.2851 us/op

WorkloadWarmup   1: 32768 op, 652235041.00 ns, 19.9046 us/op
WorkloadWarmup   2: 32768 op, 657597666.00 ns, 20.0683 us/op
WorkloadWarmup   3: 32768 op, 652315000.00 ns, 19.9071 us/op
WorkloadWarmup   4: 32768 op, 654907750.00 ns, 19.9862 us/op
WorkloadWarmup   5: 32768 op, 642419791.00 ns, 19.6051 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 625729625.00 ns, 19.0958 us/op
WorkloadActual   2: 32768 op, 623655417.00 ns, 19.0325 us/op
WorkloadActual   3: 32768 op, 637346209.00 ns, 19.4503 us/op
WorkloadActual   4: 32768 op, 630578250.00 ns, 19.2437 us/op
WorkloadActual   5: 32768 op, 636722959.00 ns, 19.4312 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 625729625.00 ns, 19.0958 us/op
WorkloadResult   2: 32768 op, 623655417.00 ns, 19.0325 us/op
WorkloadResult   3: 32768 op, 637346209.00 ns, 19.4503 us/op
WorkloadResult   4: 32768 op, 630578250.00 ns, 19.2437 us/op
WorkloadResult   5: 32768 op, 636722959.00 ns, 19.4312 us/op
GC:  33 0 0 69216376 32768
Threading:  98306 0 32768

// AfterAll
// Benchmark Process 4722 has exited with code 0.

Mean = 19.251 μs, StdErr = 0.085 μs (0.44%), N = 5, StdDev = 0.190 μs
Min = 19.032 μs, Q1 = 19.096 μs, Median = 19.244 μs, Q3 = 19.431 μs, Max = 19.450 μs
IQR = 0.335 μs, LowerFence = 18.593 μs, UpperFence = 19.934 μs
ConfidenceInterval = [18.520 μs; 19.982 μs] (CI 99.9%), Margin = 0.731 μs (3.80% of Mean)
Skewness = -0.01, Kurtosis = 0.85, MValue = 2

// **************************
// Benchmark: Benchmarking.OneThreaded: Job-DTJHNO(IterationCount=5, RunStrategy=Throughput, WarmupCount=5) [Dimension=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "20775742-c754-4d47-995c-7108f3b2515c.dll" --benchmarkName "Calculation.Benchmarking.Benchmarking.OneThreaded(Dimension: 10)" --job "IterationCount=5, RunStrategy=Throughput, WarmupCount=5" --benchmarkId 1 in /Users/olganemova/RiderProjects/TotalCourse/Calculation.Benchmarking/bin/Release/net5.0/20775742-c754-4d47-995c-7108f3b2515c/bin/Release/net5.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 5.0.9 (5.0.921.35908), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-NFBXSW(IterationCount=5, RunStrategy=Throughput, WarmupCount=5)

OverheadJitting  1: 1 op, 534750.00 ns, 534.7500 us/op
WorkloadJitting  1: 1 op, 179387291.00 ns, 179.3873 ms/op

WorkloadPilot    1: 2 op, 1103834.00 ns, 551.9170 us/op
WorkloadPilot    2: 3 op, 317500.00 ns, 105.8333 us/op
WorkloadPilot    3: 4 op, 206375.00 ns, 51.5938 us/op
WorkloadPilot    4: 5 op, 147750.00 ns, 29.5500 us/op
WorkloadPilot    5: 6 op, 412583.00 ns, 68.7638 us/op
WorkloadPilot    6: 7 op, 325250.00 ns, 46.4643 us/op
WorkloadPilot    7: 8 op, 388750.00 ns, 48.5938 us/op
WorkloadPilot    8: 9 op, 514667.00 ns, 57.1852 us/op
