Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Dimension,Mean,Error,StdDev,Gen 0,Gen 1,Gen 2,Allocated
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,5,10.66 μs,0.327 μs,0.085 μs,1.9226,0.5646,0.2747,6 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,10,19.97 μs,1.210 μs,0.314 μs,3.4485,0.9766,0.4883,10 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,25,46.55 μs,1.513 μs,0.234 μs,7.4463,2.1973,1.0376,23 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,50,92.45 μs,3.374 μs,0.876 μs,15.1367,4.3945,2.0752,46 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,100,188.76 μs,5.410 μs,0.837 μs,30.2734,9.5215,4.3945,91 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,150,278.75 μs,12.403 μs,3.221 μs,48.3398,14.1602,6.8359,138 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,250,468.54 μs,27.647 μs,4.278 μs,75.1953,24.4141,12.2070,224 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,300,559.24 μs,38.842 μs,10.087 μs,92.7734,25.3906,12.6953,275 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,450,832.62 μs,26.768 μs,6.951 μs,140.6250,43.9453,21.4844,404 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,500,915.26 μs,45.247 μs,11.751 μs,153.3203,49.8047,23.4375,447 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,1000,"1,915.07 μs",81.265 μs,12.576 μs,316.4063,111.3281,54.6875,892 KB
OneThreaded,Job-OLZPEO,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,1500,"2,897.99 μs",118.365 μs,30.739 μs,468.7500,167.9688,82.0313,"1,354 KB"
